region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Владимирская область,2023,265540.0,,,,,,,,,,,,,,,,,,,,7060.1,3448.9,,,30.0,315.0,718.0,7781.0,356.0,2638.0,,,90.0,3509.0
Владимирская область,2024,262692.0,1219.0,1102.0,2.0,,,,,,,10.0,2.0,,,,,1694.75,288.2043,5638.9,4726.909,7136.5,3523.2,127.0,6797.0,,,,,,,388.0,,95.0,3631.0
Волгоградская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0,3768.0
Волгоградская область,2022,521658.0,2026.0,1964.0,16.0,,,171.0,5602.0,,,21.0,1.0,1340.0,1217.0,89083.0,,1411.2,120.53,15453.5,7050.9,24009.5,4136.4,274.0,85.0,21.0,395.0,786.0,16586.0,303.0,5856.0,852.0,,139.0,3774.0
Волгоградская область,2023,385736.0,,,,,,,,,,,,,,,,,,,,26325.0,4283.1,,,21.0,395.0,786.0,16586.0,303.0,5856.0,,,180.0,4473.0
Волгоградская область,2024,410013.0,2046.0,1981.0,16.0,,,,,,,20.0,1.0,,,,,1163.5803,103.7847,16335.3,7315.55,29311.8,4975.2,273.0,11429.0,,,,,,,850.0,,195.0,4709.0
Вологодская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,2287.0
Вологодская область,2022,671976.0,911.0,800.0,7.0,,,45.0,2072.0,,,15.0,2.0,6593.0,5076.0,163343.0,,618.2,222.03,9054.1,7224.4,14880.6,4500.0,200.0,81.0,18.0,317.0,408.0,10265.0,169.0,3607.0,537.0,,107.0,2330.0
Вологодская область,2023,80313.0,,,,,,,,,,,,,,,,,,,,14376.5,3838.1,,,18.0,317.0,408.0,10265.0,169.0,3607.0,,,118.0,2516.0
Вологодская область,2024,51963.0,1005.0,926.0,9.0,,,,,,,30.0,4.0,,,,,331.0567,90.9262,9392.2,7804.084,14242.8,4010.7,28.0,2010.0,,,,,,,561.0,,132.0,2747.0
